security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2018-03-23,90,90,0,0,0,90,1285,SEASONED,13707652064.466667,13707652064.466667,13707652064.466667,ZERO,v0.9-pilot,CALCULATED,2018-03-23,2018-03-31,RC-2018-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2018-03-23,90,90,0,0,0,90,1081,SEASONED,3898159253.888889,3898159253.888889,3898159253.888889,ZERO,v0.9-pilot,CALCULATED,2018-03-23,2018-03-31,RC-2018-03-31,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2018-03-23,90,90,0,0,0,90,607,SEASONED,9526144006.777779,9526144006.777779,9526144006.777779,ZERO,v0.9-pilot,CALCULATED,2018-03-23,2018-03-31,RC-2018-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2018-03-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-03-23,2018-03-31,RC-2018-03-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2018-03-23,90,90,0,0,0,90,825,SEASONED,40994690215.53333,40994690215.53333,40994690215.53333,ZERO,v0.9-pilot,CALCULATED,2018-03-23,2018-03-31,RC-2018-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2018-03-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-03-23,2018-03-31,RC-2018-03-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2018-03-23,90,90,0,0,0,90,1285,SEASONED,5795715454.444445,5795715454.444445,5795715454.444445,ZERO,v0.9-pilot,CALCULATED,2018-03-23,2018-03-31,RC-2018-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2018-03-23,90,90,0,0,0,90,214,SEASONED,6438990902.222222,6438990902.222222,6438990902.222222,ZERO,v0.9-pilot,CALCULATED,2018-03-23,2018-03-31,RC-2018-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2018-03-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-03-23,2018-03-31,RC-2018-03-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2018-03-23,90,90,0,0,0,90,1316,SEASONED,106532973.83333333,106532973.83333333,106532973.83333333,ZERO,v0.9-pilot,CALCULATED,2018-03-23,2018-03-31,RC-2018-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
